sku,source,batch,priorListStatus,desiredShopifyARCHIVED,desiredMarketplaceDisabled
T3581,TLV WATCHES LLC,historical_TLV,end_list,ARCHIVED,DISABLED
T3599,TLV WATCHES LLC,historical_TLV,end_list,ARCHIVED,DISABLED
T3603,TLV WATCHES LLC,historical_TLV,end_list,ARCHIVED,DISABLED
T3606,TLV WATCHES LLC,historical_TLV,keeper_override,ARCHIVED,DISABLED
T3627,TLV WATCHES LLC,historical_TLV,end_list,ARCHIVED,DISABLED
T3638,TLV WATCHES LLC,historical_TLV,end_list,ARCHIVED,DISABLED
T3644,TLV WATCHES LLC,historical_TLV,end_list,ARCHIVED,DISABLED
T3654,TLV WATCHES LLC,historical_TLV,end_list,ARCHIVED,DISABLED
T3655,TLV WATCHES LLC,historical_TLV,end_list,ARCHIVED,DISABLED
T3656,TLV WATCHES LLC,historical_TLV,end_list,ARCHIVED,DISABLED
T3658,TLV WATCHES LLC,historical_TLV,end_list,ARCHIVED,DISABLED
T3668,TLV WATCHES LLC,historical_TLV,end_list,ARCHIVED,DISABLED
T3674,TLV WATCHES LLC,historical_TLV,end_list,ARCHIVED,DISABLED
T3681,TLV WATCHES LLC,historical_TLV,end_list,ARCHIVED,DISABLED
T3685,TLV WATCHES LLC,historical_TLV,end_list,ARCHIVED,DISABLED
T3692,TLV WATCHES LLC,historical_TLV,end_list,ARCHIVED,DISABLED
T3696,TLV WATCHES LLC,historical_TLV,end_list,ARCHIVED,DISABLED
T3697,TLV WATCHES LLC,historical_TLV,end_list,ARCHIVED,DISABLED
T3700,TLV WATCHES LLC,historical_TLV,keeper_override,ARCHIVED,DISABLED
T3704,TLV WATCHES LLC,historical_TLV,end_list,ARCHIVED,DISABLED
T3707,TLV WATCHES LLC,historical_TLV,end_list,ARCHIVED,DISABLED
T3714,TLV WATCHES LLC,historical_TLV,end_list,ARCHIVED,DISABLED
T3715,TLV WATCHES LLC,historical_TLV,keeper_override,ARCHIVED,DISABLED
T3716,TLV WATCHES LLC,historical_TLV,keeper_override,ARCHIVED,DISABLED
T3725,TLV WATCHES LLC,historical_TLV,end_list,ARCHIVED,DISABLED
T3726,TLV WATCHES LLC,historical_TLV,end_list,ARCHIVED,DISABLED
T3727,TLV WATCHES LLC,historical_TLV,end_list,ARCHIVED,DISABLED
T3729,TLV WATCHES LLC,historical_TLV,keeper_override,ARCHIVED,DISABLED
T3731,TLV WATCHES LLC,historical_TLV,end_list,ARCHIVED,DISABLED
T3736,TLV WATCHES LLC,historical_TLV,end_list,ARCHIVED,DISABLED
T3738,TLV WATCHES LLC,historical_TLV,keeper_override,ARCHIVED,DISABLED
T3739,TLV WATCHES LLC,historical_TLV,end_list,ARCHIVED,DISABLED
T3742,TLV WATCHES LLC,historical_TLV,end_list,ARCHIVED,DISABLED
T3743,TLV WATCHES LLC,historical_TLV,end_list,ARCHIVED,DISABLED
T3749,TLV WATCHES LLC,historical_TLV,end_list,ARCHIVED,DISABLED

