sku,title,reason
3124,Pre-Owned Rolex Oysterdate 6694,take_down
3125,Pre-Owned Rolex Oysterdate 6694,take_down
3126,Pre-Owned Rolex Oysterdate 6694,take_down
3127,Pre-Owned Rolex Oysterdate 6694,take_down
3128,Pre-Owned Rolex Oysterdate 6466,take_down
3129,Pre-Owned Rolex Precision 6694,take_down
3130,Pre-Owned Rolex Precision 6694,take_down
3131,Pre-Owned Rolex Air-King 5700,take_down
3132,Pre-Owned Rolex Oysterdate 6466,take_down
3134,Pre-Owned Cartier Santos WSSA0062,take_down
3136,Pre-Owned Cartier Santos WSSA0018,take_down
3146,Pre-Owned Cartier Santos WSSA0030,take_down
3147,Pre-Owned Cartier Santos WSSA0018,take_down
3148,Pre-Owned Cartier Santos WSSA0018,take_down
3149,Pre-Owned Cartier Santos WSSA0018,take_down
3150,Pre-Owned Cartier Santos WSSA0018,take_down
3151,Pre-Owned Cartier Santos WSSA0018,take_down
3152,Pre-Owned Cartier Santos WSSA0030,take_down
3153,Pre-Owned Cartier Santos WSSA0018,take_down
3159,Rolex Yachtmaster 126621,take_down
3160,Pre-Owned Rolex Submariner Date 16800,take_down
3172,Rolex Sky Dweller 336938,take_down
3176,Rolex Datejust 126233,take_down
3179,Unworn Rolex Oyster Perpetual 134300,take_down
3180,Pre-Owned Rolex Day-Date 228348RBR,take_down
3192,Pre-Owned Rolex Submariner Date 126613LN,take_down
3193,Pre-Owned Rolex Air-King 116900,take_down
3194,Pre-Owned Rolex Submariner Date 126610LN,take_down
3200,Pre-Owned Rolex Lady Date Just 6919,take_down
3201,Pre-Owned Rolex Oyster Perpetual Lady 6919,take_down
3204,Pre-Owned Rolex Datejust II 116333,take_down
3206,Rolex Yachtmaster 126622,take_down
3208,Pre-Owned Rolex Precision 6494,take_down
3211,Pre-Owned Rolex Lady Date Just 6517,take_down
3212,Pre-Owned Rolex Lady Date Just 6517,take_down
3213,Pre-Owned Rolex Lady Date Just 6517,take_down
3215,Pre-Owned Rolex Precision 6694,take_down
3216,Pre-Owned Rolex Oyster Precision 6426,take_down
3219,Pre-Owned Rolex Oyster Precision 6426,take_down
3221,Pre-Owned Rolex Oyster Precision 6422,take_down
3224,Pre-Owned Rolex Oyster Perpetual 6505,take_down
3228,Pre-Owned Rolex Datejust 126334,take_down
3229,Rolex Datejust 126331,take_down
3232,Pre-Owned Rolex Datejust II 116333,take_down
3234,Pre-Owned Rolex Lady Date Just 6919,take_down
3241,Pre-Owned Rolex Datejust 178313,take_down
3243,Pre-Owned Rolex Datejust 68274,take_down
3245,Pre-Owned Rolex Datejust 68273,take_down
3252,Pre-Owned Rolex Datejust 178271,take_down
3261,Pre-Owned Rolex Datejust 126301,take_down
